evento,fecha_inicio,fecha_fin
ICE,19/01/2025,22/01/2025
ISE,04/02/2025,07/02/2025
Maraton BCN,16/02/2025,16/02/2025
MWC,02/03/2025,06/03/2025
Maraton BCN,16/03/2025,16/03/2025
EWNA,25/03/2025,28/03/2025
Sem. Santa,17/04/2025,21/04/2025
Bridal Week,22/04/2025,25/04/2025
IVIRMA,24/04/2025,26/04/2025
SEAFOOD,05/05/2025,08/05/2025
IOT,12/05/2025,15/05/2025
VITAFOODS,19/05/2025,23/05/2025
CONSTRUMAT,20/05/2025,22/05/2025
F1,30/05/2025,01/06/2025
Primavera Sound,05/06/2025,08/06/2025
EULAR,10/06/2025,15/06/2025
IADR,25/06/2025,28/06/2025
WCLC,05/09/2025,09/09/2025
Moto GP,05/09/2025,07/09/2025
LABELEXPO,15/09/2025,19/09/2025
BIOSPAIN,15/09/2025,18/09/2025
ECTRIMS,22/09/2025,27/09/2025
IAAPA,22/09/2025,25/09/2025
SMARTCITY,03/11/2025,06/11/2025
VMware,04/11/2025,06/11/2025
GARTNER,09/11/2025,13/11/2025
IBTM,17/11/2025,23/11/2025
HP,17/11/2025,23/11/2025
MIFAS,17/11/2025,23/11/2025
Work Day Rise,17/11/2025,21/11/2025
Sal. piscina,17/11/2025,21/11/2025
