producto,id_booking,estado,fecha_inicio,fecha_fin,fecha_creacion,cliente
Salas,7385,Perdido,2025-01-15,2025-01-16,2024-02-19,"GENERICO, EMPRESAS"
Habs y Salas,7983,Cancelado,2025-01-17,2025-01-19,2024-03-07,"GENERICO, AGENCIAS"
Habs y Salas,8973,Perdido,2025-03-12,2025-03-16,2024-04-10,"GENERICO, AGENCIAS"
Habs y Salas,9151,Perdido,2025-03-16,2025-03-22,2024-04-17,"GENERICO, EMPRESAS"
Habs y Salas,9265,Rechazado,2025-03-11,2025-03-14,2024-04-22,"GENERICO, AGENCIAS"
Habs y Salas,9612,CONFIRMACIÓN,2025-05-28,2025-06-07,2024-05-06,cliente_001
Salas,9649,Perdido,2025-06-22,2025-06-22,2024-05-08,GENERICO GENERICO
Salas,9676,CONFIRMACIÓN,2025-03-23,2025-03-23,2024-05-07,cliente_002
Salas,9737,Perdido,2025-05-09,2025-05-09,2024-05-09,GENERICO GENERICO
Habs y Salas,9764,Perdido,2025-01-03,2025-01-08,2024-05-13,GENERICO GENERICO
Habs y Salas,9911,Rechazado,2025-04-02,2025-04-05,2024-05-15,GENERICO GENERICO
Habs y Salas,10334,Perdido,2025-01-12,2025-01-18,2024-05-29,GENERICO GENERICO
Habs y Salas,10519,Perdido,2025-04-12,2025-04-18,2024-06-05,GENERICO GENERICO
Salas,10634,CONFIRMACIÓN,2025-09-15,2025-09-16,2024-06-07,cliente_003
Habs y Salas,10878,Perdido,2025-02-17,2025-02-23,2024-06-13,"GENERICO, AGENCIAS"
Habs y Salas,10898,Rechazado,2025-03-19,2025-03-20,2024-06-17,"GENERICO, AGENCIAS"
Habs y Salas,11028,Perdido,2025-02-11,2025-02-17,2024-06-19,GENERICO GENERICO
Habs y Salas,11217,Perdido,2025-01-07,2025-01-12,2024-06-25,"GENERICO, AGENCIAS"
Habs y Salas,11542,Perdido,2025-05-04,2025-05-05,2024-07-04,GENERICO GENERICO
Habs y Salas,11732,Rechazado,2025-05-05,2025-05-09,2024-07-11,"GENERICO, AGENCIAS"
Salas,11786,CONFIRMACIÓN,2025-01-11,2025-01-11,2024-07-12,cliente_004
Habs y Salas,12075,Perdido,2025-06-03,2025-06-05,2024-07-23,"GENERICO, AGENCIAS"
Habs y Salas,12128,Perdido,2025-04-02,2025-04-06,2024-07-24,GENERICO GENERICO
Salas,12583,Perdido,2025-04-12,2025-04-12,2024-08-14,GENERICO GENERICO
Habs y Salas,12635,Cancelado,2025-05-09,2025-05-17,2024-08-19,GENERICO GENERICO
Habs y Salas,12679,Perdido,2025-05-01,2025-05-04,2024-08-20,"GENERICO, AGENCIAS"
Habs y Salas,12765,Rechazado,2025-06-02,2025-06-06,2024-08-23,GENERICO GENERICO
Habs y Salas,12828,Rechazado,2025-01-15,2025-01-31,2024-08-28,GENERICO GENERICO
Habs y Salas,12829,Perdido,2025-04-03,2025-04-06,2024-08-28,GENERICO GENERICO
Habs y Salas,12830,Rechazado,2025-03-27,2025-03-30,2024-08-28,GENERICO GENERICO
Habs y Salas,12984,Perdido,2025-03-13,2025-03-16,2024-09-03,GENERICO GENERICO
Habs y Salas,12987,Perdido,2025-03-06,2025-03-09,2024-09-03,GENERICO GENERICO
Habs y Salas,13064,CONFIRMACIÓN,2025-01-13,2025-01-22,2024-09-05,cliente_005
Habs y Salas,13098,Perdido,2025-03-21,2025-03-23,2024-09-09,"GENERICO, AGENCIAS"
Salas,13106,CONFIRMACIÓN,2025-01-09,2025-01-17,2024-09-09,cliente_006
Habs y Salas,13233,CONFIRMACIÓN,2025-02-02,2025-04-30,2024-09-12,cliente_007
Salas,13337,Perdido,2025-02-01,2025-02-01,2024-09-17,GENERICO GENERICO
Salas,13812,Perdido,2025-03-22,2025-03-22,2024-09-27,GENERICO GENERICO
Salas,13822,Perdido,2025-06-14,2025-06-14,2024-09-30,GENERICO GENERICO
Habs y Salas,13844,CONFIRMACIÓN,2025-01-07,2025-01-22,2024-09-30,cliente_008
Habs y Salas,13912,CONFIRMACIÓN,2025-01-06,2025-01-11,2024-10-01,GENERICO GENERICO
Salas,13980,Perdido,2025-01-18,2025-01-18,2024-10-03,GENERICO GENERICO
Habs y Salas,13983,Rechazado,2025-03-14,2025-03-15,2024-10-03,"GENERICO, EMPRESAS"
Salas,13991,Perdido,2025-07-05,2025-07-05,2024-10-03,GENERICO GENERICO
Salas,13992,Perdido,2025-11-28,2025-11-29,2024-10-03,GENERICO GENERICO
Habs y Salas,13993,Perdido,2025-12-04,2025-12-07,2024-10-03,GENERICO GENERICO
Habs y Salas,14043,Perdido,2025-06-23,2025-06-27,2024-10-04,"GENERICO, AGENCIAS"
Salas,14191,Perdido,2025-01-21,2025-01-21,2024-10-08,GENERICO GENERICO
