id_booking,fecha_inicio,producto,estado,fecha_fin,fecha_creacion,tipo_evento,pax,total_evento,sala,fb,alojamiento,antelacion_dias
1,2025-02-22,Salas,CONFIRMACIÓN,,,BANQUETE,19.0,786.38,0.0,786.38,0.0,
2,2025-05-10,Salas,CONFIRMACIÓN,,,BANQUETE,19.0,576.93,0.0,576.93,0.0,
3,2025-04-21,Salas,CONFIRMACIÓN,,,BANQUETE,11.0,455.27,0.0,455.27,0.0,
4,2025-10-24,Salas,CONFIRMACIÓN,,,REUNIÓN,15.0,0.0,0.0,0.0,0.0,
5,2025-03-15,Salas,CONFIRMACIÓN,,,BANQUETE,14.0,438.97,25.08,413.89,0.0,
6,2025-02-11,Salas,CONFIRMACIÓN,,,REUNIÓN,15.0,0.0,0.0,0.0,0.0,
7,2025-01-06,Salas,CONFIRMACIÓN,,,BANQUETE,3.0,135.45,0.0,135.45,0.0,
8,2025-01-01,Salas,CONFIRMACIÓN,,,BANQUETE,11.0,496.66,0.0,496.66,0.0,
9,2025-06-13,Salas,CONFIRMACIÓN,,,BANQUETE,34.0,959.46,959.46,0.0,0.0,
10,2025-01-01,Salas,CONFIRMACIÓN,,,BANQUETE,2.0,90.3,0.0,90.3,0.0,
11,2025-04-23,Salas,CONFIRMACIÓN,,,BANQUETE,24.0,0.0,0.0,0.0,0.0,
12,2025-02-11,Salas,CONFIRMACIÓN,,,BANQUETE,13.0,252.72,0.0,252.72,0.0,
13,2025-05-10,Salas,CONFIRMACIÓN,,,BANQUETE,26.0,798.93,798.93,0.0,0.0,
14,2025-03-01,Salas,CONFIRMACIÓN,,,BANQUETE,8.0,0.0,0.0,0.0,0.0,
15,2025-01-01,Salas,CONFIRMACIÓN,,,BANQUETE,2.0,90.3,0.0,90.3,0.0,
16,2025-01-01,Salas,CONFIRMACIÓN,,,BANQUETE,3.0,135.45,0.0,135.45,0.0,
17,2025-01-06,Salas,CONFIRMACIÓN,,,BANQUETE,12.0,426.43,0.0,426.43,0.0,
18,2025-06-15,Salas,CONFIRMACIÓN,,,BANQUETE,18.0,598.25,0.0,598.25,0.0,
