id_booking,Nombre_Cliente,Fecha_inicio,Tipo_evento,Pax,Total_evento,Sala,FB,Alojamiento,Extras
,cliente_001,2025-02-22 00:00:00,BANQUETE,19,786.38,0.0,786.38,0.0,0.0
,cliente_002,2025-05-10 00:00:00,BANQUETE,19,576.93,0.0,576.93,0.0,0.0
,cliente_003,2025-04-21 00:00:00,BANQUETE,11,455.27,0.0,455.27,0.0,0.0
,cliente_004,2025-10-24 00:00:00,REUNIÓN,15,0.0,0.0,0.0,0.0,0.0
,cliente_005,2025-03-15 00:00:00,BANQUETE,14,438.97,25.08,413.89,0.0,0.0
,cliente_006,2025-02-11 00:00:00,REUNIÓN,15,0.0,0.0,0.0,0.0,0.0
9612.0,cliente_007,2025-05-30 00:00:00,GRUPOS,70,19690.31,0.0,438.97,16549.04,0.0
9676.0,cliente_008,2025-03-23 00:00:00,CUMPLEAÑOS,100,2633.82,2483.32,150.5,0.0,0.0
11786.0,cliente_009,2025-01-11 00:00:00,COCKTAIL,31,1494.24,1008.38,485.86,0.0,0.0
13064.0,cliente_010,2025-01-13 00:00:00,EVENTO,62,22321.12,9750.15,1451.23,9199.06,0.0
13106.0,cliente_011,2025-01-09 00:00:00,REUNIÓN,200,658.46,658.46,0.0,0.0,0.0
13233.0,cliente_012,2025-02-03 00:00:00,CONGRESO,15,53449.81,231.4,189.45,49138.21,147.37
10634.0,cliente_013,2025-09-15 00:00:00,EVENTO,12,916.51,231.4,685.11,0.0,0.0
13844.0,cliente_014,2025-01-08 00:00:00,GRUPOS,8,1541.41,301.01,230.77,843.26,0.0
13912.0,cliente_015,2025-01-06 00:00:00,GRUPOS,8,2448.2,1404.7,40.13,802.69,0.0
14203.0,cliente_016,2025-03-31 00:00:00,GRUPOS,20,9175.73,2389.25,490.39,5509.7,0.0
14814.0,cliente_017,2025-02-02 00:00:00,COCKTAIL,20,524.26,0.0,524.26,0.0,0.0
15088.0,cliente_018,2025-02-03 00:00:00,GRUPOS,20,1875.03,0.0,476.6,1267.37,0.0
15122.0,cliente_019,2025-03-06 00:00:00,GRUPOS,10,790.15,514.22,275.92,0.0,0.0
15077.0,cliente_020,2025-06-16 00:00:00,EVENTO,64,45114.51,7558.44,1819.41,30315.64,3235.33
15482.0,cliente_021,2025-03-13 00:00:00,GRUPOS,15,9795.93,2916.02,451.51,5795.72,0.0
15500.0,cliente_022,2025-03-07 00:00:00,GRUPOS,48,14262.39,903.02,571.92,10952.55,0.0
15666.0,cliente_023,2025-03-25 00:00:00,GRUPOS,54,8567.44,1422.26,1489.99,4880.72,0.0
15721.0,cliente_024,2025-04-09 00:00:00,GRUPOS,50,3856.04,677.27,131.06,2661.66,0.0
15722.0,cliente_025,2025-11-07 00:00:00,EXPOSICIÓN,50,1349.61,1349.61,0.0,0.0,0.0
15737.0,cliente_026,2025-03-17 00:00:00,CONVENCIÓN,46,11755.62,4403.5,2435.66,4249.23,0.0
16314.0,cliente_027,2025-03-10 00:00:00,GRUPOS,31,5090.8,3496.71,1594.09,0.0,0.0
16414.0,cliente_028,2025-04-04 00:00:00,GRUPOS,10,6898.1,125.42,0.0,5914.81,0.0
16434.0,cliente_029,2025-01-06 00:00:00,GRUPOS,4,1821.1,727.44,90.3,884.21,0.0
