,dia,precio,pct_ocupacion
0,2025-01-01,140,86.29
1,2025-01-02,140,76.61
2,2025-01-03,110,62.1
3,2025-01-04,110,53.23
4,2025-01-05,110,66.94
5,2025-01-06,110,69.35
6,2025-01-07,180,83.06
7,2025-01-08,140,84.68
8,2025-01-09,125,64.52
9,2025-01-10,140,67.74
10,2025-01-11,110,72.58
11,2025-01-12,95,59.68
12,2025-01-13,140,81.45
13,2025-01-14,130,64.52
14,2025-01-15,120,58.06
15,2025-01-16,120,64.52
16,2025-01-17,115,54.03
17,2025-01-18,115,63.71
18,2025-01-19,130,69.35
19,2025-01-20,400,87.9
20,2025-01-21,400,86.29
21,2025-01-22,125,57.26
22,2025-01-23,150,78.23
23,2025-01-24,100,54.03
24,2025-01-25,110,74.19
25,2025-01-26,100,52.42
26,2025-01-27,110,66.94
27,2025-01-28,120,79.84
28,2025-01-29,160,87.1
29,2025-01-30,120,79.84
30,2025-01-31,110,71.77
31,2025-02-01,120,72.58
32,2025-02-02,110,64.52
33,2025-02-03,150,88.71
34,2025-02-04,500,95.97
35,2025-02-05,400,95.97
36,2025-02-06,150,91.13
37,2025-02-07,115,66.94
38,2025-02-08,110,66.13
39,2025-02-09,90,69.35
40,2025-02-10,90,64.52
41,2025-02-11,90,74.19
42,2025-02-12,100,80.65
43,2025-02-13,100,74.19
44,2025-02-14,160,91.13
45,2025-02-15,150,95.16
46,2025-02-16,115,80.65
47,2025-02-17,115,80.65
48,2025-02-18,120,83.87
49,2025-02-19,140,88.71
50,2025-02-20,130,87.9
51,2025-02-21,120,83.06
52,2025-02-22,120,81.45
53,2025-02-23,115,59.68
54,2025-02-24,100,54.03
55,2025-02-25,115,69.35
56,2025-02-26,115,69.35
57,2025-02-27,100,58.06
58,2025-02-28,100,68.55
59,2025-03-01,130,100.0
60,2025-03-02,330,100.0
61,2025-03-03,850,100.0
62,2025-03-04,280,100.0
63,2025-03-05,170,92.74
64,2025-03-06,110,79.84
65,2025-03-07,120,86.29
66,2025-03-08,120,91.13
67,2025-03-09,100,79.84
68,2025-03-10,150,94.35
69,2025-03-11,130,75.81
70,2025-03-12,160,94.35
71,2025-03-13,140,95.16
72,2025-03-14,140,88.71
73,2025-03-15,230,100.0
74,2025-03-16,120,87.1
75,2025-03-17,160,94.35
76,2025-03-18,160,95.97
77,2025-03-19,110,83.87
78,2025-03-20,110,77.42
79,2025-03-21,140,97.58
80,2025-03-22,130,97.58
81,2025-03-23,110,87.1
82,2025-03-24,120,82.26
83,2025-03-25,220,100.0
84,2025-03-26,130,75.81
85,2025-03-27,200,100.0
86,2025-03-28,160,99.19
87,2025-03-29,160,96.77
88,2025-03-30,100,79.84
89,2025-03-31,110,84.68
90,2025-04-01,180,100.0
91,2025-04-02,160,98.39
92,2025-04-03,150,100.0
93,2025-04-04,190,100.0
94,2025-04-05,230,100.0
95,2025-04-06,120,86.29
96,2025-04-07,180,92.74
97,2025-04-08,150,93.55
98,2025-04-09,180,99.19
99,2025-04-10,150,95.97
100,2025-04-11,130,79.84
101,2025-04-12,150,99.19
102,2025-04-13,130,84.68
103,2025-04-14,130,88.71
104,2025-04-15,130,91.13
105,2025-04-16,130,95.16
106,2025-04-17,160,97.58
107,2025-04-18,300,100.0
108,2025-04-19,230,100.0
109,2025-04-20,140,88.71
110,2025-04-21,120,91.13
111,2025-04-22,160,88.71
112,2025-04-23,300,99.19
113,2025-04-24,400,100.0
114,2025-04-25,220,95.16
115,2025-04-26,230,94.35
116,2025-04-27,140,86.29
117,2025-04-28,160,92.74
118,2025-04-29,160,95.16
119,2025-04-30,170,92.74
120,2025-05-01,200,94.35
121,2025-05-02,300,100.0
122,2025-05-03,190,95.97
123,2025-05-04,140,74.19
124,2025-05-05,200,86.29
125,2025-05-06,240,87.9
126,2025-05-07,180,94.35
127,2025-05-08,200,98.39
128,2025-05-09,190,90.32
129,2025-05-10,290,96.77
130,2025-05-11,200,95.97
131,2025-05-12,200,100.0
132,2025-05-13,160,94.35
133,2025-05-14,140,88.71
134,2025-05-15,140,84.68
135,2025-05-16,160,91.94
136,2025-05-17,180,91.13
137,2025-05-18,120,83.06
138,2025-05-19,220,91.13
139,2025-05-20,210,92.74
140,2025-05-21,210,95.97
141,2025-05-22,150,87.1
142,2025-05-23,170,87.9
143,2025-05-24,180,91.94
144,2025-05-25,130,70.97
145,2025-05-26,220,100.0
146,2025-05-27,200,98.39
147,2025-05-28,200,98.39
148,2025-05-29,350,99.19
149,2025-05-30,500,100.0
150,2025-05-31,270,100.0
151,2025-06-01,330,99.19
152,2025-06-02,250,94.35
153,2025-06-03,190,95.16
154,2025-06-04,230,99.19
155,2025-06-05,300,99.19
156,2025-06-06,210,84.68
157,2025-06-07,270,95.97
158,2025-06-08,200,98.39
159,2025-06-09,200,96.77
160,2025-06-10,230,98.39
161,2025-06-11,500,100.0
162,2025-06-12,400,100.0
163,2025-06-13,400,100.0
164,2025-06-14,210,91.13
165,2025-06-15,130,87.9
166,2025-06-16,320,100.0
167,2025-06-17,170,91.13
168,2025-06-18,250,100.0
169,2025-06-19,160,95.97
170,2025-06-20,160,90.32
171,2025-06-21,140,91.13
172,2025-06-22,130,71.77
173,2025-06-23,110,76.61
174,2025-06-24,110,85.48
175,2025-06-25,140,95.16
176,2025-06-26,150,95.97
177,2025-06-27,160,98.39
178,2025-06-28,140,100.0
179,2025-06-29,90,91.94
180,2025-06-30,250,100.0
181,2025-07-01,200,96.77
182,2025-07-02,140,96.77
183,2025-07-03,300,100.0
184,2025-07-04,220,99.19
185,2025-07-05,160,98.39
186,2025-07-06,130,95.97
187,2025-07-07,160,100.0
188,2025-07-08,180,100.0
189,2025-07-09,300,100.0
190,2025-07-10,200,95.16
191,2025-07-11,180,96.77
192,2025-07-12,200,100.0
193,2025-07-13,150,93.55
194,2025-07-14,140,95.16
195,2025-07-15,150,95.16
196,2025-07-16,150,95.16
197,2025-07-17,180,100.0
198,2025-07-18,170,100.0
199,2025-07-19,200,100.0
200,2025-07-20,130,91.13
201,2025-07-21,200,100.0
202,2025-07-22,140,93.55
203,2025-07-23,170,100.0
204,2025-07-24,140,94.35
205,2025-07-25,180,100.0
206,2025-07-26,150,95.16
207,2025-07-27,110,80.65
208,2025-07-28,140,92.74
209,2025-07-29,150,89.52
210,2025-07-30,140,91.13
211,2025-07-31,130,86.29
212,2025-08-01,150,83.87
213,2025-08-02,150,91.13
214,2025-08-03,120,83.06
215,2025-08-04,150,89.52
216,2025-08-05,150,94.35
217,2025-08-06,140,92.74
218,2025-08-07,160,100.0
219,2025-08-08,400,100.0
220,2025-08-09,450,100.0
221,2025-08-10,140,97.58
222,2025-08-11,180,100.0
223,2025-08-12,160,98.39
224,2025-08-13,150,95.16
225,2025-08-14,180,99.19
226,2025-08-15,210,100.0
227,2025-08-16,180,100.0
228,2025-08-17,130,85.48
229,2025-08-18,140,97.58
230,2025-08-19,140,87.9
231,2025-08-20,140,96.77
232,2025-08-21,150,98.39
233,2025-08-22,200,100.0
234,2025-08-23,170,97.58
235,2025-08-24,110,92.74
236,2025-08-25,140,92.74
237,2025-08-26,140,93.55
238,2025-08-27,140,96.77
239,2025-08-28,150,98.39
240,2025-08-29,130,90.32
241,2025-08-30,150,96.77
242,2025-08-31,100,97.58
243,2025-09-01,120,95.97
244,2025-09-02,120,91.94
245,2025-09-03,140,91.94
246,2025-09-04,130,90.32
247,2025-09-05,160,91.94
248,2025-09-06,170,91.94
249,2025-09-07,110,71.77
250,2025-09-08,160,88.71
251,2025-09-09,150,69.35
252,2025-09-10,120,66.13
253,2025-09-11,130,87.9
254,2025-09-12,200,94.35
255,2025-09-13,210,95.97
256,2025-09-14,120,79.84
257,2025-09-15,190,91.94
258,2025-09-16,280,100.0
259,2025-09-17,300,100.0
260,2025-09-18,200,93.55
261,2025-09-19,200,100.0
262,2025-09-20,155,95.97
263,2025-09-21,120,100.0
264,2025-09-22,170,100.0
265,2025-09-23,200,100.0
266,2025-09-24,200,94.35
267,2025-09-25,280,100.0
268,2025-09-26,200,89.52
269,2025-09-27,220,97.58
270,2025-09-28,140,89.52
271,2025-09-29,170,91.94
272,2025-09-30,270,100.0
273,2025-10-01,330,100.0
274,2025-10-02,200,95.97
275,2025-10-03,260,100.0
276,2025-10-04,270,100.0
277,2025-10-05,140,79.84
278,2025-10-06,260,100.0
279,2025-10-07,280,100.0
280,2025-10-08,230,98.39
281,2025-10-09,240,100.0
282,2025-10-10,180,96.77
283,2025-10-11,200,100.0
284,2025-10-12,150,89.52
285,2025-10-13,280,100.0
286,2025-10-14,160,89.52
287,2025-10-15,190,100.0
288,2025-10-16,200,96.77
289,2025-10-17,180,89.52
290,2025-10-18,180,81.45
291,2025-10-19,150,93.55
292,2025-10-20,220,92.74
293,2025-10-21,300,100.0
294,2025-10-22,220,96.77
295,2025-10-23,230,95.16
296,2025-10-24,190,91.13
297,2025-10-25,190,84.68
298,2025-10-26,140,76.61
299,2025-10-27,140,95.97
300,2025-10-28,170,95.16
301,2025-10-29,150,100.0
302,2025-10-30,160,97.58
303,2025-10-31,140,78.23
304,2025-11-01,150,91.13
