fecha,precio,pct_ocupacion
2025-01-01,140,86.29
2025-01-02,140,76.61
2025-01-03,110,62.1
2025-01-04,110,53.23
2025-01-05,110,66.94
2025-01-06,110,69.35
2025-01-07,180,83.06
2025-01-08,140,84.68
2025-01-09,125,64.52
2025-01-10,140,67.74
2025-01-11,110,72.58
2025-01-12,95,59.68
2025-01-13,140,81.45
2025-01-14,130,64.52
2025-01-15,120,58.06
2025-01-16,120,64.52
2025-01-17,115,54.03
2025-01-18,115,63.71
2025-01-19,130,69.35
2025-01-20,400,87.9
2025-01-21,400,86.29
2025-01-22,125,57.26
2025-01-23,150,78.23
2025-01-24,100,54.03
2025-01-25,110,74.19
2025-01-26,100,52.42
2025-01-27,110,66.94
2025-01-28,120,79.84
2025-01-29,160,87.1
2025-01-30,120,79.84
2025-01-31,110,71.77
2025-02-01,120,72.58
2025-02-02,110,64.52
2025-02-03,150,88.71
2025-02-04,500,95.97
2025-02-05,400,95.97
2025-02-06,150,91.13
2025-02-07,115,66.94
2025-02-08,110,66.13
2025-02-09,90,69.35
2025-02-10,90,64.52
2025-02-11,90,74.19
2025-02-12,100,80.65
2025-02-13,100,74.19
2025-02-14,160,91.13
2025-02-15,150,95.16
2025-02-16,115,80.65
2025-02-17,115,80.65
2025-02-18,120,83.87
2025-02-19,140,88.71
2025-02-20,130,87.9
2025-02-21,120,83.06
2025-02-22,120,81.45
2025-02-23,115,59.68
2025-02-24,100,54.03
2025-02-25,115,69.35
2025-02-26,115,69.35
2025-02-27,100,58.06
2025-02-28,100,68.55
2025-03-01,130,100.0
2025-03-02,330,100.0
2025-03-03,850,100.0
2025-03-04,280,100.0
2025-03-05,170,92.74
2025-03-06,110,79.84
2025-03-07,120,86.29
2025-03-08,120,91.13
2025-03-09,100,79.84
2025-03-10,150,94.35
2025-03-11,130,75.81
2025-03-12,160,94.35
2025-03-13,140,95.16
2025-03-14,140,88.71
2025-03-15,230,100.0
2025-03-16,120,87.1
2025-03-17,160,94.35
2025-03-18,160,95.97
2025-03-19,110,83.87
